Date,Open,High,Low,Close,Adj Close,Volume
2022-01-13,41.435265,42.425529,40.703781,40.933903,40.933903,161102266
2022-01-14,40.931896,44.625141,40.789906,44.600353,44.600353,298873970
2022-01-15,44.629269,47.213104,44.435539,46.065502,46.065502,336785488
2022-01-16,46.059650,46.580048,45.289783,46.424992,46.424992,203763297
2022-01-17,46.438091,46.525822,43.999199,44.400253,44.400253,265485755
2022-01-18,44.403786,45.108063,43.011646,44.962193,44.962193,210222570
2022-01-19,44.962299,46.906456,43.329842,46.734383,46.734383,314698212
2022-01-20,46.731220,49.846725,45.218761,45.225964,45.225964,259571675
2022-01-21,45.241749,45.801289,37.839233,38.455330,38.455330,483332085
2022-01-22,38.471676,39.339474,32.318192,33.475803,33.475803,426607717
2022-01-23,33.518818,36.381496,33.419720,35.954372,35.954372,208947148
2022-01-24,35.959980,36.022877,31.545630,35.611691,35.611691,279762526
2022-01-25,35.608841,37.074696,34.637241,36.440800,36.440800,177316287
2022-01-26,36.440777,38.757881,35.722672,36.531666,36.531666,233485001
2022-01-27,36.524509,39.692715,35.244999,38.289791,38.289791,239496652
2022-01-28,38.278046,40.105331,37.755409,40.041779,40.041779,147899771
2022-01-29,40.039131,41.884243,39.999828,41.659229,41.659229,127993564
2022-01-30,41.678143,41.814583,40.380924,41.095879,41.095879,94281559
2022-01-31,41.096771,44.032997,39.678165,43.671753,43.671753,214377542
2022-02-01,43.667938,48.090549,42.886517,45.241333,45.241333,270307330
2022-02-02,45.241692,46.133240,42.462818,42.928501,42.928501,218101272
2022-02-03,42.921902,43.106030,40.968830,42.539082,42.539082,160007542
2022-02-04,42.546467,45.971401,42.546467,45.968891,45.968891,196845117
2022-02-05,45.971840,46.933598,45.172241,46.219803,46.219803,148972924
2022-02-06,46.217285,46.713661,45.281166,46.621990,46.621990,91591911
2022-02-07,46.620491,48.333828,45.906235,47.204311,47.204311,161879165
2022-02-08,47.209141,48.443321,45.426605,46.476570,46.476570,150993816
2022-02-09,46.468040,48.184986,45.664806,47.913700,47.913700,155450453
2022-02-10,47.924541,48.352676,44.819427,44.910816,44.910816,222192927
2022-02-11,44.890888,45.285229,42.979607,43.428169,43.428169,148046248
2022-02-12,43.433846,44.847218,42.957523,44.184647,44.184647,103863371
2022-02-13,44.175411,45.333683,44.016186,44.526436,44.526436,126229968
2022-02-14,44.493088,45.033436,43.476257,44.873661,44.873661,133584065
2022-02-15,44.875343,47.366032,44.699078,47.200539,47.200539,123599645
2022-02-16,47.204121,47.204121,45.900684,46.515141,46.515141,120457112
2022-02-17,46.481133,46.769493,43.330700,43.652275,43.652275,131524276
2022-02-18,43.668842,44.358295,42.607430,43.132870,43.132870,105147366
2022-02-19,43.130138,43.624722,41.948212,42.788582,42.788582,59565367
2022-02-20,42.796326,42.796326,40.367855,40.907635,40.907635,96061232
2022-02-21,40.896240,42.507099,39.815319,39.879757,39.879757,175079607
2022-02-22,39.868279,41.642662,39.194962,41.555244,41.555244,163749893
2022-02-23,41.556923,43.234467,40.779125,40.886234,40.886234,135407171
2022-02-24,40.865063,42.107033,37.380592,41.270145,41.270145,277653914
2022-02-25,41.274811,43.536663,41.166142,43.051498,43.051498,144613652
2022-02-26,43.049805,44.047165,42.775501,43.323868,43.323868,92682640
2022-02-27,43.316689,44.188046,41.162235,41.570763,41.570763,114052824
